,category,message,cleaned
1429,Drug/Narcotics,a person was selling weed,person sell weed
1430,Drug/Narcotics,a person was selling xanax,person sell xanax
1431,Drug/Narcotics,a person smoked weed,person smoke weed
1432,Drug/Narcotics,a person smoked crack,person smoke crack
1433,Drug/Narcotics,a person smoked meth,person smoke meth
1434,Drug/Narcotics,a person smoked from a pipe,person smoke pipe
1435,Drug/Narcotics,a person had a joint,person joint
1436,Drug/Narcotics,a person smells like weed,person smell like weed
1437,Drug/Narcotics,a person smells like skunk,person smell like skunk
1438,Drug/Narcotics,a person had needles,person needl
1439,Drug/Narcotics,a person dropped needles,person drop needl
1440,Drug/Narcotics,a person has Heroin needles,person heroin needl
1441,Drug/Narcotics,a person  seems high,person seem high
1442,Drug/Narcotics,a person has used ectasy,person use ectasi
1443,Drug/Narcotics,a person has used Amphetamines,person use amphetamin
1444,Drug/Narcotics,a person has used Cocaine,person use cocain
1445,Drug/Narcotics,a person has used Methamphetamine,person use methamphetamin
1446,Drug/Narcotics,a person has used crack,person use crack
1447,Drug/Narcotics,a person on drugs,person drug
1448,Drug/Narcotics,a person Marijuana Dispensary,person marijuana dispensari
1449,Drug/Narcotics,a person weed,person weed
1450,Drug/Narcotics,a person smells like weed,person smell like weed
1451,Drug/Narcotics,a person Marijuana,person marijuana
1452,Drug/Narcotics,a person did dumb things because they are drunk,person dumb thing drunk
1453,Drug/Narcotics,a person drunk in public,person drunk public
1454,Drug/Narcotics,a person smells like alcohol,person smell like alcohol
1455,Drug/Narcotics,a person blacked out,person black
1456,Drug/Narcotics,a person was drinking,person drink
1457,Drug/Narcotics,a person  had vodka,person vodka
1458,Drug/Narcotics,a person  has beer,person beer
1459,Drug/Narcotics,a person at a bar,person bar
1460,Drug/Narcotics,a person gin,person gin
1461,Drug/Narcotics,a person possession,person possess
1462,Drug/Narcotics,a person bong,person bong
1463,Drug/Narcotics,a person selling drugs,person sell drug
1464,Drug/Narcotics,a person dealing drugs,person deal drug
1465,Drug/Narcotics,a person dealing weed,person deal weed
1466,Drug/Narcotics,a person rock,person rock
1467,Drug/Narcotics,a person ounce,person ounc
1468,Drug/Narcotics,a person gram,person gram
1469,Drug/Narcotics,a person has white powder,person white powder
1470,Drug/Narcotics,a person trafficking,person traffick
1471,Drug/Narcotics,a person has a lot of drugs,person lot drug
1472,Drug/Narcotics,a person has a shipment,person shipment
1473,Drug/Narcotics,a person hallucinating,person hallucin
1474,Drug/Narcotics,a person tripping out,person trip
1475,Drug/Narcotics,a person took acid,person took acid
1476,Drug/Narcotics,a person is addicted to,person addict
1477,Drug/Narcotics,a person growing weed,person grow weed
1478,Drug/Narcotics,a person cooking meth,person cook meth
1479,Drug/Narcotics,a person making meth,person make meth
1480,Drug/Narcotics,a person is making drugs,person make drug
1481,Drug/Narcotics,a person smoking a blunt,person smoke blunt
1482,Drug/Narcotics,a person tripping out,person trip
1483,Drug/Narcotics,a person drank too much,person drank much
1484,Drug/Narcotics,a person greened out,person green
1485,Drug/Narcotics,a person green,person green
1486,Drug/Narcotics,My took drugs,my took drug
1487,Drug/Narcotics,My snorted drugs,my snort drug
1488,Drug/Narcotics,My had drugs,my drug
1489,Drug/Narcotics,My smoked drugs,my smoke drug
1490,Drug/Narcotics,My injected drugs,my inject drug
1491,Drug/Narcotics,My doing drugs,my drug
1492,Drug/Narcotics,My heroin,my heroin
1493,Drug/Narcotics,My had meth,my meth
1494,Drug/Narcotics,My had crack,my crack
1495,Drug/Narcotics,My had weed,my weed
1496,Drug/Narcotics,My had coke,my coke
1497,Drug/Narcotics,My had cocaine,my cocain
1498,Drug/Narcotics,My doing meth,my meth
1499,Drug/Narcotics,My doing coke,my coke
1500,Drug/Narcotics,My was selling drugs,my sell drug
1501,Drug/Narcotics,My was selling coke,my sell coke
1502,Drug/Narcotics,My was selling meth,my sell meth
1503,Drug/Narcotics,My was selling weed,my sell weed
1504,Drug/Narcotics,My was selling xanax,my sell xanax
1505,Drug/Narcotics,My smoked weed,my smoke weed
1506,Drug/Narcotics,My smoked crack,my smoke crack
1507,Drug/Narcotics,My smoked meth,my smoke meth
1508,Drug/Narcotics,My smoked from a pipe,my smoke pipe
1509,Drug/Narcotics,My had a joint,my joint
1510,Drug/Narcotics,My smells like weed,my smell like weed
1511,Drug/Narcotics,My smells like skunk,my smell like skunk
1512,Drug/Narcotics,My had needles,my needl
1513,Drug/Narcotics,My dropped needles,my drop needl
1514,Drug/Narcotics,My has Heroin needles,my heroin needl
1515,Drug/Narcotics,My  seems high,my seem high
1516,Drug/Narcotics,My has used ectasy,my use ectasi
1517,Drug/Narcotics,My has used Amphetamines,my use amphetamin
1518,Drug/Narcotics,My has used Cocaine,my use cocain
1519,Drug/Narcotics,My has used Methamphetamine,my use methamphetamin
1520,Drug/Narcotics,My has used crack,my use crack
1521,Drug/Narcotics,My on drugs,my drug
1522,Drug/Narcotics,My Marijuana Dispensary,my marijuana dispensari
1523,Drug/Narcotics,My weed,my weed
1524,Drug/Narcotics,My smells like weed,my smell like weed
1525,Drug/Narcotics,My Marijuana,my marijuana
1526,Drug/Narcotics,My did dumb things because they are drunk,my dumb thing drunk
1527,Drug/Narcotics,My drunk in public,my drunk public
1528,Drug/Narcotics,My smells like alcohol,my smell like alcohol
1529,Drug/Narcotics,My blacked out,my black
1530,Drug/Narcotics,My was drinking,my drink
1531,Drug/Narcotics,My  had vodka,my vodka
1532,Drug/Narcotics,My  has beer,my beer
1533,Drug/Narcotics,My at a bar,my bar
1534,Drug/Narcotics,My gin,my gin
1535,Drug/Narcotics,My possession,my possess
1536,Drug/Narcotics,My bong,my bong
1537,Drug/Narcotics,My selling drugs,my sell drug
1538,Drug/Narcotics,My dealing drugs,my deal drug
1539,Drug/Narcotics,My dealing weed,my deal weed
1540,Drug/Narcotics,My rock,my rock
1541,Drug/Narcotics,My ounce,my ounc
1542,Drug/Narcotics,My gram,my gram
1543,Drug/Narcotics,My has white powder,my white powder
1544,Drug/Narcotics,My trafficking,my traffick
1545,Drug/Narcotics,My has a lot of drugs,my lot drug
1546,Drug/Narcotics,My has a shipment,my shipment
1547,Drug/Narcotics,My hallucinating,my hallucin
1548,Drug/Narcotics,My tripping out,my trip
1549,Drug/Narcotics,My took acid,my took acid
1550,Drug/Narcotics,My is addicted to,my addict
1551,Drug/Narcotics,My growing weed,my grow weed
1552,Drug/Narcotics,My cooking meth,my cook meth
1553,Drug/Narcotics,My making meth,my make meth
1554,Drug/Narcotics,My is making drugs,my make drug
1555,Drug/Narcotics,My smoking a blunt,my smoke blunt
1556,Drug/Narcotics,My tripping out,my trip
1557,Drug/Narcotics,My drank too much,my drank much
1558,Drug/Narcotics,My greened out,my green
1559,Drug/Narcotics,My green,my green
1560,Drug/Narcotics,I took drugs,i took drug
1561,Drug/Narcotics,I snorted drugs,i snort drug
1562,Drug/Narcotics,I had drugs,i drug
1563,Drug/Narcotics,I smoked drugs,i smoke drug
1564,Drug/Narcotics,I injected drugs,i inject drug
1565,Drug/Narcotics,I doing drugs,i drug
1566,Drug/Narcotics,I heroin,i heroin
1567,Drug/Narcotics,I had meth,i meth
1568,Drug/Narcotics,I had crack,i crack
1569,Drug/Narcotics,I had weed,i weed
1570,Drug/Narcotics,I had coke,i coke
1571,Drug/Narcotics,I had cocaine,i cocain
1572,Drug/Narcotics,I doing meth,i meth
1573,Drug/Narcotics,I doing coke,i coke
1574,Drug/Narcotics,I was selling drugs,i sell drug
1575,Drug/Narcotics,I was selling coke,i sell coke
1576,Drug/Narcotics,I was selling meth,i sell meth
1577,Drug/Narcotics,I was selling weed,i sell weed
1578,Drug/Narcotics,I was selling xanax,i sell xanax
1579,Drug/Narcotics,I smoked weed,i smoke weed
1580,Drug/Narcotics,I smoked crack,i smoke crack
1581,Drug/Narcotics,I smoked meth,i smoke meth
1582,Drug/Narcotics,I smoked from a pipe,i smoke pipe
1583,Drug/Narcotics,I had a joint,i joint
1584,Drug/Narcotics,I smells like weed,i smell like weed
1585,Drug/Narcotics,I smells like skunk,i smell like skunk
1586,Drug/Narcotics,I had needles,i needl
1587,Drug/Narcotics,I dropped needles,i drop needl
1588,Drug/Narcotics,I has Heroin needles,i heroin needl
1589,Drug/Narcotics,I  seems high,i seem high
1590,Drug/Narcotics,I has used ectasy,i use ectasi
1591,Drug/Narcotics,I has used Amphetamines,i use amphetamin
1592,Drug/Narcotics,I has used Cocaine,i use cocain
1593,Drug/Narcotics,I has used Methamphetamine,i use methamphetamin
1594,Drug/Narcotics,I has used crack,i use crack
1595,Drug/Narcotics,I on drugs,i drug
1596,Drug/Narcotics,I Marijuana Dispensary,i marijuana dispensari
1597,Drug/Narcotics,I weed,i weed
1598,Drug/Narcotics,I smells like weed,i smell like weed
1599,Drug/Narcotics,I Marijuana,i marijuana
1600,Drug/Narcotics,I did dumb things because they are drunk,i dumb thing drunk
1601,Drug/Narcotics,I drunk in public,i drunk public
1602,Drug/Narcotics,I smells like alcohol,i smell like alcohol
1603,Drug/Narcotics,I blacked out,i black
1604,Drug/Narcotics,I was drinking,i drink
1605,Drug/Narcotics,I  had vodka,i vodka
1606,Drug/Narcotics,I  has beer,i beer
1607,Drug/Narcotics,I at a bar,i bar
1608,Drug/Narcotics,I gin,i gin
1609,Drug/Narcotics,I possession,i possess
1610,Drug/Narcotics,I bong,i bong
1611,Drug/Narcotics,I selling drugs,i sell drug
1612,Drug/Narcotics,I dealing drugs,i deal drug
1613,Drug/Narcotics,I dealing weed,i deal weed
1614,Drug/Narcotics,I rock,i rock
1615,Drug/Narcotics,I ounce,i ounc
1616,Drug/Narcotics,I gram,i gram
1617,Drug/Narcotics,I has white powder,i white powder
1618,Drug/Narcotics,I trafficking,i traffick
1619,Drug/Narcotics,I has a lot of drugs,i lot drug
1620,Drug/Narcotics,I has a shipment,i shipment
1621,Drug/Narcotics,I hallucinating,i hallucin
1622,Drug/Narcotics,I tripping out,i trip
1623,Drug/Narcotics,I took acid,i took acid
1624,Drug/Narcotics,I is addicted to,i addict
1625,Drug/Narcotics,I growing weed,i grow weed
1626,Drug/Narcotics,I cooking meth,i cook meth
1627,Drug/Narcotics,I making meth,i make meth
1628,Drug/Narcotics,I is making drugs,i make drug
1629,Drug/Narcotics,I smoking a blunt,i smoke blunt
1630,Drug/Narcotics,I tripping out,i trip
1631,Drug/Narcotics,I drank too much,i drank much
1632,Drug/Narcotics,I greened out,i green
1633,Drug/Narcotics,I green,i green
1634,Drug/Narcotics,We took drugs,we took drug
1635,Drug/Narcotics,We snorted drugs,we snort drug
1636,Drug/Narcotics,We had drugs,we drug
1637,Drug/Narcotics,We smoked drugs,we smoke drug
1638,Drug/Narcotics,We injected drugs,we inject drug
1639,Drug/Narcotics,We doing drugs,we drug
1640,Drug/Narcotics,We heroin,we heroin
1641,Drug/Narcotics,We had meth,we meth
1642,Drug/Narcotics,We had crack,we crack
1643,Drug/Narcotics,We had weed,we weed
1644,Drug/Narcotics,We had coke,we coke
1645,Drug/Narcotics,We had cocaine,we cocain
1646,Drug/Narcotics,We doing meth,we meth
1647,Drug/Narcotics,We doing coke,we coke
1648,Drug/Narcotics,We was selling drugs,we sell drug
1649,Drug/Narcotics,We was selling coke,we sell coke
1650,Drug/Narcotics,We was selling meth,we sell meth
1651,Drug/Narcotics,We was selling weed,we sell weed
1652,Drug/Narcotics,We was selling xanax,we sell xanax
1653,Drug/Narcotics,We smoked weed,we smoke weed
1654,Drug/Narcotics,We smoked crack,we smoke crack
1655,Drug/Narcotics,We smoked meth,we smoke meth
1656,Drug/Narcotics,We smoked from a pipe,we smoke pipe
1657,Drug/Narcotics,We had a joint,we joint
1658,Drug/Narcotics,We smells like weed,we smell like weed
1659,Drug/Narcotics,We smells like skunk,we smell like skunk
1660,Drug/Narcotics,We had needles,we needl
1661,Drug/Narcotics,We dropped needles,we drop needl
1662,Drug/Narcotics,We has Heroin needles,we heroin needl
1663,Drug/Narcotics,We  seems high,we seem high
1664,Drug/Narcotics,We has used ectasy,we use ectasi
1665,Drug/Narcotics,We has used Amphetamines,we use amphetamin
1666,Drug/Narcotics,We has used Cocaine,we use cocain
1667,Drug/Narcotics,We has used Methamphetamine,we use methamphetamin
1668,Drug/Narcotics,We has used crack,we use crack
1669,Drug/Narcotics,We on drugs,we drug
1670,Drug/Narcotics,We Marijuana Dispensary,we marijuana dispensari
1671,Drug/Narcotics,We weed,we weed
1672,Drug/Narcotics,We smells like weed,we smell like weed
1673,Drug/Narcotics,We Marijuana,we marijuana
1674,Drug/Narcotics,We did dumb things because they are drunk,we dumb thing drunk
1675,Drug/Narcotics,We drunk in public,we drunk public
1676,Drug/Narcotics,We smells like alcohol,we smell like alcohol
1677,Drug/Narcotics,We blacked out,we black
1678,Drug/Narcotics,We was drinking,we drink
1679,Drug/Narcotics,We  had vodka,we vodka
1680,Drug/Narcotics,We  has beer,we beer
1681,Drug/Narcotics,We at a bar,we bar
1682,Drug/Narcotics,We gin,we gin
1683,Drug/Narcotics,We possession,we possess
1684,Drug/Narcotics,We bong,we bong
1685,Drug/Narcotics,We selling drugs,we sell drug
1686,Drug/Narcotics,We dealing drugs,we deal drug
1687,Drug/Narcotics,We dealing weed,we deal weed
1688,Drug/Narcotics,We rock,we rock
1689,Drug/Narcotics,We ounce,we ounc
1690,Drug/Narcotics,We gram,we gram
1691,Drug/Narcotics,We has white powder,we white powder
1692,Drug/Narcotics,We trafficking,we traffick
1693,Drug/Narcotics,We has a lot of drugs,we lot drug
1694,Drug/Narcotics,We has a shipment,we shipment
1695,Drug/Narcotics,We hallucinating,we hallucin
1696,Drug/Narcotics,We tripping out,we trip
1697,Drug/Narcotics,We took acid,we took acid
1698,Drug/Narcotics,We is addicted to,we addict
1699,Drug/Narcotics,We growing weed,we grow weed
1700,Drug/Narcotics,We cooking meth,we cook meth
1701,Drug/Narcotics,We making meth,we make meth
1702,Drug/Narcotics,We is making drugs,we make drug
1703,Drug/Narcotics,We smoking a blunt,we smoke blunt
1704,Drug/Narcotics,We tripping out,we trip
1705,Drug/Narcotics,We drank too much,we drank much
1706,Drug/Narcotics,We greened out,we green
1707,Drug/Narcotics,We green,we green
1708,Drug/Narcotics,mentook drugs,mentook drug
1709,Drug/Narcotics,mensnorted drugs,mensnort drug
1710,Drug/Narcotics,menhad drugs,menhad drug
1711,Drug/Narcotics,mensmoked drugs,mensmok drug
1712,Drug/Narcotics,meninjected drugs,meninject drug
1713,Drug/Narcotics,mendoing drugs,mendo drug
1714,Drug/Narcotics,menheroin,menheroin
1715,Drug/Narcotics,menhad meth,menhad meth
1716,Drug/Narcotics,menhad crack,menhad crack
1717,Drug/Narcotics,menhad weed,menhad weed
1718,Drug/Narcotics,menhad coke,menhad coke
1719,Drug/Narcotics,menhad cocaine,menhad cocain
1720,Drug/Narcotics,mendoing meth,mendo meth
1721,Drug/Narcotics,mendoing coke,mendo coke
1722,Drug/Narcotics,menwas selling drugs,menwa sell drug
1723,Drug/Narcotics,menwas selling coke,menwa sell coke
1724,Drug/Narcotics,menwas selling meth,menwa sell meth
1725,Drug/Narcotics,menwas selling weed,menwa sell weed
1726,Drug/Narcotics,menwas selling xanax,menwa sell xanax
1727,Drug/Narcotics,mensmoked weed,mensmok weed
1728,Drug/Narcotics,mensmoked crack,mensmok crack
1729,Drug/Narcotics,mensmoked meth,mensmok meth
1730,Drug/Narcotics,mensmoked from a pipe,mensmok pipe
1731,Drug/Narcotics,menhad a joint,menhad joint
1732,Drug/Narcotics,mensmells like weed,mensmel like weed
1733,Drug/Narcotics,mensmells like skunk,mensmel like skunk
1734,Drug/Narcotics,menhad needles,menhad needl
1735,Drug/Narcotics,mendropped needles,mendrop needl
1736,Drug/Narcotics,menhas Heroin needles,menha heroin needl
1737,Drug/Narcotics,men seems high,men seem high
1738,Drug/Narcotics,menhas used ectasy,menha use ectasi
1739,Drug/Narcotics,menhas used Amphetamines,menha use amphetamin
1740,Drug/Narcotics,menhas used Cocaine,menha use cocain
1741,Drug/Narcotics,menhas used Methamphetamine,menha use methamphetamin
1742,Drug/Narcotics,menhas used crack,menha use crack
1743,Drug/Narcotics,menon drugs,menon drug
1744,Drug/Narcotics,menMarijuana Dispensary,menmarijuana dispensari
1745,Drug/Narcotics,menweed,menwe
1746,Drug/Narcotics,mensmells like weed,mensmel like weed
1747,Drug/Narcotics,menMarijuana,menmarijuana
1748,Drug/Narcotics,mendid dumb things because they are drunk,mendid dumb thing drunk
1749,Drug/Narcotics,mendrunk in public,mendrunk public
1750,Drug/Narcotics,mensmells like alcohol,mensmel like alcohol
1751,Drug/Narcotics,menblacked out,menblack
1752,Drug/Narcotics,menwas drinking,menwa drink
1753,Drug/Narcotics,men had vodka,men vodka
1754,Drug/Narcotics,men has beer,men beer
1755,Drug/Narcotics,menat a bar,menat bar
1756,Drug/Narcotics,mengin,mengin
1757,Drug/Narcotics,menpossession,menpossess
1758,Drug/Narcotics,menbong,menbong
1759,Drug/Narcotics,menselling drugs,mensel drug
1760,Drug/Narcotics,mendealing drugs,mendeal drug
1761,Drug/Narcotics,mendealing weed,mendeal weed
1762,Drug/Narcotics,menrock,menrock
1763,Drug/Narcotics,menounce,menounc
1764,Drug/Narcotics,mengram,mengram
1765,Drug/Narcotics,menhas white powder,menha white powder
1766,Drug/Narcotics,mentrafficking,mentraffick
1767,Drug/Narcotics,menhas a lot of drugs,menha lot drug
1768,Drug/Narcotics,menhas a shipment,menha shipment
1769,Drug/Narcotics,menhallucinating,menhallucin
1770,Drug/Narcotics,mentripping out,mentrip
1771,Drug/Narcotics,mentook acid,mentook acid
1772,Drug/Narcotics,menis addicted to,meni addict
1773,Drug/Narcotics,mengrowing weed,mengrow weed
1774,Drug/Narcotics,mencooking meth,mencook meth
1775,Drug/Narcotics,menmaking meth,menmak meth
1776,Drug/Narcotics,menis making drugs,meni make drug
1777,Drug/Narcotics,mensmoking a blunt,mensmok blunt
1778,Drug/Narcotics,mentripping out,mentrip
1779,Drug/Narcotics,mendrank too much,mendrank much
1780,Drug/Narcotics,mengreened out,mengreen
1781,Drug/Narcotics,mengreen,mengreen
1782,Drug/Narcotics,womentook drugs,womentook drug
1783,Drug/Narcotics,womensnorted drugs,womensnort drug
1784,Drug/Narcotics,womenhad drugs,womenhad drug
1785,Drug/Narcotics,womensmoked drugs,womensmok drug
1786,Drug/Narcotics,womeninjected drugs,womeninject drug
1787,Drug/Narcotics,womendoing drugs,womendo drug
1788,Drug/Narcotics,womenheroin,womenheroin
1789,Drug/Narcotics,womenhad meth,womenhad meth
1790,Drug/Narcotics,womenhad crack,womenhad crack
1791,Drug/Narcotics,womenhad weed,womenhad weed
1792,Drug/Narcotics,womenhad coke,womenhad coke
1793,Drug/Narcotics,womenhad cocaine,womenhad cocain
1794,Drug/Narcotics,womendoing meth,womendo meth
1795,Drug/Narcotics,womendoing coke,womendo coke
1796,Drug/Narcotics,womenwas selling drugs,womenwa sell drug
1797,Drug/Narcotics,womenwas selling coke,womenwa sell coke
1798,Drug/Narcotics,womenwas selling meth,womenwa sell meth
1799,Drug/Narcotics,womenwas selling weed,womenwa sell weed
1800,Drug/Narcotics,womenwas selling xanax,womenwa sell xanax
1801,Drug/Narcotics,womensmoked weed,womensmok weed
1802,Drug/Narcotics,womensmoked crack,womensmok crack
1803,Drug/Narcotics,womensmoked meth,womensmok meth
1804,Drug/Narcotics,womensmoked from a pipe,womensmok pipe
1805,Drug/Narcotics,womenhad a joint,womenhad joint
1806,Drug/Narcotics,womensmells like weed,womensmel like weed
1807,Drug/Narcotics,womensmells like skunk,womensmel like skunk
1808,Drug/Narcotics,womenhad needles,womenhad needl
1809,Drug/Narcotics,womendropped needles,womendrop needl
1810,Drug/Narcotics,womenhas Heroin needles,womenha heroin needl
1811,Drug/Narcotics,women seems high,women seem high
1812,Drug/Narcotics,womenhas used ectasy,womenha use ectasi
1813,Drug/Narcotics,womenhas used Amphetamines,womenha use amphetamin
1814,Drug/Narcotics,womenhas used Cocaine,womenha use cocain
1815,Drug/Narcotics,womenhas used Methamphetamine,womenha use methamphetamin
1816,Drug/Narcotics,womenhas used crack,womenha use crack
1817,Drug/Narcotics,womenon drugs,womenon drug
1818,Drug/Narcotics,womenMarijuana Dispensary,womenmarijuana dispensari
1819,Drug/Narcotics,womenweed,womenwe
1820,Drug/Narcotics,womensmells like weed,womensmel like weed
1821,Drug/Narcotics,womenMarijuana,womenmarijuana
1822,Drug/Narcotics,womendid dumb things because they are drunk,womendid dumb thing drunk
1823,Drug/Narcotics,womendrunk in public,womendrunk public
1824,Drug/Narcotics,womensmells like alcohol,womensmel like alcohol
1825,Drug/Narcotics,womenblacked out,womenblack
1826,Drug/Narcotics,womenwas drinking,womenwa drink
1827,Drug/Narcotics,women had vodka,women vodka
1828,Drug/Narcotics,women has beer,women beer
1829,Drug/Narcotics,womenat a bar,womenat bar
1830,Drug/Narcotics,womengin,womengin
1831,Drug/Narcotics,womenpossession,womenpossess
1832,Drug/Narcotics,womenbong,womenbong
1833,Drug/Narcotics,womenselling drugs,womensel drug
1834,Drug/Narcotics,womendealing drugs,womend drug
1835,Drug/Narcotics,womendealing weed,womend weed
1836,Drug/Narcotics,womenrock,womenrock
1837,Drug/Narcotics,womenounce,womenounc
1838,Drug/Narcotics,womengram,womengram
1839,Drug/Narcotics,womenhas white powder,womenha white powder
1840,Drug/Narcotics,womentrafficking,womentraffick
1841,Drug/Narcotics,womenhas a lot of drugs,womenha lot drug
1842,Drug/Narcotics,womenhas a shipment,womenha shipment
1843,Drug/Narcotics,womenhallucinating,womenhallucin
1844,Drug/Narcotics,womentripping out,womentrip
1845,Drug/Narcotics,womentook acid,womentook acid
1846,Drug/Narcotics,womenis addicted to,womeni addict
1847,Drug/Narcotics,womengrowing weed,womengrow weed
1848,Drug/Narcotics,womencooking meth,womencook meth
1849,Drug/Narcotics,womenmaking meth,womenmak meth
1850,Drug/Narcotics,womenis making drugs,womeni make drug
1851,Drug/Narcotics,womensmoking a blunt,womensmok blunt
1852,Drug/Narcotics,womentripping out,womentrip
1853,Drug/Narcotics,womendrank too much,womendrank much
1854,Drug/Narcotics,womengreened out,womengreen
1855,Drug/Narcotics,womengreen,womengreen
1856,Drug/Narcotics,a guytook drugs,guytook drug
1857,Drug/Narcotics,a guysnorted drugs,guysnort drug
1858,Drug/Narcotics,a guyhad drugs,guyhad drug
1859,Drug/Narcotics,a guysmoked drugs,guysmok drug
1860,Drug/Narcotics,a guyinjected drugs,guyinject drug
1861,Drug/Narcotics,a guydoing drugs,guydo drug
1862,Drug/Narcotics,a guyheroin,guyheroin
1863,Drug/Narcotics,a guyhad meth,guyhad meth
1864,Drug/Narcotics,a guyhad crack,guyhad crack
1865,Drug/Narcotics,a guyhad weed,guyhad weed
1866,Drug/Narcotics,a guyhad coke,guyhad coke
1867,Drug/Narcotics,a guyhad cocaine,guyhad cocain
1868,Drug/Narcotics,a guydoing meth,guydo meth
1869,Drug/Narcotics,a guydoing coke,guydo coke
1870,Drug/Narcotics,a guywas selling drugs,guywa sell drug
1871,Drug/Narcotics,a guywas selling coke,guywa sell coke
1872,Drug/Narcotics,a guywas selling meth,guywa sell meth
1873,Drug/Narcotics,a guywas selling weed,guywa sell weed
1874,Drug/Narcotics,a guywas selling xanax,guywa sell xanax
1875,Drug/Narcotics,a guysmoked weed,guysmok weed
1876,Drug/Narcotics,a guysmoked crack,guysmok crack
1877,Drug/Narcotics,a guysmoked meth,guysmok meth
1878,Drug/Narcotics,a guysmoked from a pipe,guysmok pipe
1879,Drug/Narcotics,a guyhad a joint,guyhad joint
1880,Drug/Narcotics,a guysmells like weed,guysmel like weed
1881,Drug/Narcotics,a guysmells like skunk,guysmel like skunk
1882,Drug/Narcotics,a guyhad needles,guyhad needl
1883,Drug/Narcotics,a guydropped needles,guydrop needl
1884,Drug/Narcotics,a guyhas Heroin needles,guyha heroin needl
1885,Drug/Narcotics,a guy seems high,guy seem high
1886,Drug/Narcotics,a guyhas used ectasy,guyha use ectasi
1887,Drug/Narcotics,a guyhas used Amphetamines,guyha use amphetamin
1888,Drug/Narcotics,a guyhas used Cocaine,guyha use cocain
1889,Drug/Narcotics,a guyhas used Methamphetamine,guyha use methamphetamin
1890,Drug/Narcotics,a guyhas used crack,guyha use crack
1891,Drug/Narcotics,a guyon drugs,guyon drug
1892,Drug/Narcotics,a guyMarijuana Dispensary,guymarijuana dispensari
1893,Drug/Narcotics,a guyweed,guywe
1894,Drug/Narcotics,a guysmells like weed,guysmel like weed
1895,Drug/Narcotics,a guyMarijuana,guymarijuana
1896,Drug/Narcotics,a guydid dumb things because they are drunk,guydid dumb thing drunk
1897,Drug/Narcotics,a guydrunk in public,guydrunk public
1898,Drug/Narcotics,a guysmells like alcohol,guysmel like alcohol
1899,Drug/Narcotics,a guyblacked out,guyblack
1900,Drug/Narcotics,a guywas drinking,guywa drink
1901,Drug/Narcotics,a guy had vodka,guy vodka
1902,Drug/Narcotics,a guy has beer,guy beer
1903,Drug/Narcotics,a guyat a bar,guyat bar
1904,Drug/Narcotics,a guygin,guygin
1905,Drug/Narcotics,a guypossession,guypossess
1906,Drug/Narcotics,a guybong,guybong
1907,Drug/Narcotics,a guyselling drugs,guysel drug
1908,Drug/Narcotics,a guydealing drugs,guydeal drug
1909,Drug/Narcotics,a guydealing weed,guydeal weed
1910,Drug/Narcotics,a guyrock,guyrock
1911,Drug/Narcotics,a guyounce,guyounc
1912,Drug/Narcotics,a guygram,guygram
1913,Drug/Narcotics,a guyhas white powder,guyha white powder
1914,Drug/Narcotics,a guytrafficking,guytraffick
1915,Drug/Narcotics,a guyhas a lot of drugs,guyha lot drug
1916,Drug/Narcotics,a guyhas a shipment,guyha shipment
1917,Drug/Narcotics,a guyhallucinating,guyhallucin
1918,Drug/Narcotics,a guytripping out,guytrip
1919,Drug/Narcotics,a guytook acid,guytook acid
1920,Drug/Narcotics,a guyis addicted to,guyi addict
1921,Drug/Narcotics,a guygrowing weed,guygrow weed
1922,Drug/Narcotics,a guycooking meth,guycook meth
1923,Drug/Narcotics,a guymaking meth,guymak meth
1924,Drug/Narcotics,a guyis making drugs,guyi make drug
1925,Drug/Narcotics,a guysmoking a blunt,guysmok blunt
1926,Drug/Narcotics,a guytripping out,guytrip
1927,Drug/Narcotics,a guydrank too much,guydrank much
1928,Drug/Narcotics,a guygreened out,guygreen
1929,Drug/Narcotics,a guygreen,guygreen
1930,Drug/Narcotics,that persontook drugs,persontook drug
1931,Drug/Narcotics,that personsnorted drugs,personsnort drug
1932,Drug/Narcotics,that personhad drugs,personhad drug
1933,Drug/Narcotics,that personsmoked drugs,personsmok drug
1934,Drug/Narcotics,that personinjected drugs,personinject drug
1935,Drug/Narcotics,that persondoing drugs,persondo drug
1936,Drug/Narcotics,that personheroin,personheroin
1937,Drug/Narcotics,that personhad meth,personhad meth
1938,Drug/Narcotics,that personhad crack,personhad crack
1939,Drug/Narcotics,that personhad weed,personhad weed
1940,Drug/Narcotics,that personhad coke,personhad coke
1941,Drug/Narcotics,that personhad cocaine,personhad cocain
1942,Drug/Narcotics,that persondoing meth,persondo meth
1943,Drug/Narcotics,that persondoing coke,persondo coke
1944,Drug/Narcotics,that personwas selling drugs,personwa sell drug
1945,Drug/Narcotics,that personwas selling coke,personwa sell coke
1946,Drug/Narcotics,that personwas selling meth,personwa sell meth
1947,Drug/Narcotics,that personwas selling weed,personwa sell weed
1948,Drug/Narcotics,that personwas selling xanax,personwa sell xanax
1949,Drug/Narcotics,that personsmoked weed,personsmok weed
1950,Drug/Narcotics,that personsmoked crack,personsmok crack
1951,Drug/Narcotics,that personsmoked meth,personsmok meth
1952,Drug/Narcotics,that personsmoked from a pipe,personsmok pipe
1953,Drug/Narcotics,that personhad a joint,personhad joint
1954,Drug/Narcotics,that personsmells like weed,personsmel like weed
